workType,filename,parent,extent,series,title,titleAlternative,description,dateCreated,datePublished,creator,physicalDescription,physicalFormat,subjectPlace,subjectName,resourceType,collectionCallNumber,publisher,publisherHomepage,donorProvenance,rightsStatement,rightsHolder,accessRights,rightsStatus,accessionNumber,masterFilename,boxFolder
work,ms0020_neg_bv_56-93_29.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-93_29,ms0020_neg_bv_56-93_29.tif,"Box 512, Folder 56-93"
work,ms0020_neg_bv_56-95_01.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-95_01,ms0020_neg_bv_56-95_01.tif,"Box 512, Folder 56-95"
work,ms0020_neg_bv_56-95_02.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-95_02,ms0020_neg_bv_56-95_02.tif,"Box 512, Folder 56-95"
work,ms0020_neg_bv_56-95_03.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-95_03,ms0020_neg_bv_56-95_03.tif,"Box 512, Folder 56-95"
work,ms0020_neg_bv_56-95_14.tif,row:2,,,Adobe walls: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-95_14,ms0020_neg_bv_56-95_14.tif,"Box 512, Folder 56-95"
work,,id:fx719m62f,183 images,Berryessa Valley,Auction,,,1956,,https://id.loc.gov/authorities/names/n79100159,,,,,,,,,,,,,,,,
work,ms0020_neg_bv_56-42_01.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_01,ms0020_neg_bv_56-42_01.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_02.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_02,ms0020_neg_bv_56-42_02.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_03.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_03,ms0020_neg_bv_56-42_03.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_04.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_04,ms0020_neg_bv_56-42_04.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_05.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_05,ms0020_neg_bv_56-42_05.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_06.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_06,ms0020_neg_bv_56-42_06.tif,"Box 512, Folder 56-42"
work,ms0020_neg_bv_56-42_07.tif,row:24,,,Auction: Untitled,,Unprinted/unpublished,1956,,,35 mm,http://vocab.getty.edu/aat/300128343,https://www.geonames.org/5364444/lake-berryessa.html,,http://purl.org/dc/dcmitype/Image,,,,,,,,,ms0020_neg_bv_56-42_07,ms0020_neg_bv_56-42_07.tif,"Box 512, Folder 56-42"
