filename,work_type,parent,masterFilename,collectionCallNumber,collection,series,subseries,title,titleAlternative,creator,description,staffNote,dateCreatedDisplay,dateCreated,subjectName,subjectPlace,genre,physicalFormat,physicalDescription,language,publisher,publisherHomepage,rightsStatement,rightsHolder,accessRights,rightsStatus,resourceType,donorProvenance,accessionNumber,boxFolder
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,E.E. (Edward Emerson) Barnard,,Poole Art Co.,,"""B1 Barnard 3\; v.1 p.5\; L.O. from Dr. Swift""\; [stamped:] ""Lick Observatory 02/25/1896""\; [signed:] ""Sincerely your Friend. E.E. Barnard. June 1885. Vanderbilt University Observatory. Nashville, Tennessee"". [Notes on album page:] ""EEB 1885\; E.E. Barnard, 1885\; L.O. from Dr. Swift"" [Scan shows earlier accession number, ms0284_pho_.]",1885,1885,info:lc/authorities/names/n94063816,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0009,"Volume 1, Page 5"
ua0036_pho_0009.tif,fileset,row:24,ua0036_pho_0009.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0009a.tif,fileset,row:24,ua0036_pho_0009a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,C.D. (Charles Dillon) Perrine,,Taber Photographic Co.,,"""C.D. Perrine / December 1897\; 1 cal [?]\; Charles Dillon Perrine 1867 - 1951"". [Notes on album page:] ""EEB\; C.D. Perrine, 1897"" [Scan shows earlier accession number, ms0284_pho_.]",1897-12,1897-12,info:lc/authorities/names/n90625326,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0010,"Volume 1, Page 5"
ua0036_pho_0010.tif,fileset,row:27,ua0036_pho_0010.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0010a.tif,fileset,row:27,ua0036_pho_0010a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,James E. Keeler,,Sperber,,"""James E. Keeler 1896\; v.1, p.6\; 66.75"". [Notes on album page:] ""JEK\; J.E. Keeler\; 1896"" [Scan shows earlier accession number, ms0284_pho_.]",1896,1896,info:lc/authorities/names/n84018140,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0011,"Volume 1, Page 6"
ua0036_pho_0011.tif,fileset,row:30,ua0036_pho_0011.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0011a.tif,fileset,row:30,ua0036_pho_0011a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,W.W. (William Wallace) Campbell,,,,"""W.W. Campbell, U. of M. 1886 - May 1886\; [verso:] WW Campbell 1886\; J v.1 p.6\; B1 27\; J/17125"". [Notes on album page:] ""W.W. Campbell, 1886"". American, 1862-1938. Volunteer assistant in 1890, staff astronomer 1891-1901, director 1901-c. 1930. This is probably a graduation portrait for the University of Michigan, Ann Arbor. The name of the photo studio is cropped away. [Scan shows earlier accession number, ms0284_pho_.]",1886-05,1886-05,info:lc/authorities/names/n85810443,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0012,"Volume 1, Page 6"
ua0036_pho_0012.tif,fileset,row:33,ua0036_pho_0012.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0012a.tif,fileset,row:33,ua0036_pho_0012a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Henry Crew,,"Root, W. J.",,"""1895\; [verso] HENRY CREW 1895\; A1-Vol 1 - p.8\; Digitized"". [Notes on album page:] ""H.Crew\; Henry Crew. 1895"" [Scan shows earlier accession number, ms0284_pho_.]",1895,1895,info:lc/authorities/names/n80145898,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0015,"Volume 1, Page 8"
ua0036_pho_0015.tif,fileset,row:36,ua0036_pho_0015.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0015a.tif,fileset,row:36,ua0036_pho_0015a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,R.H. (Richard Hawley) Tucker,,Taber Photographic Co.,,"""v.1, p.8\; 1894"". [Notes on album page:] ""R.H.J.\; R.H. Tucker jr. 1895\;"" [Scan shows earlier accession number, ms0284_pho_.]",1894,1894,info:lc/authorities/names/n92050984,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0016,"Volume 1, Page 8"
ua0036_pho_0016.tif,fileset,row:39,ua0036_pho_0016.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0016a.tif,fileset,row:39,ua0036_pho_0016a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Martin Kellogg,,,,"""Dr. Kellogg 1896"". [Notes on album page:] ""S.L.C.\; Dr. Kellogg, 1896"" [Scan shows earlier accession number, ms0284_pho_.]",1896,1896,info:lc/authorities/names/no2012094856,,http://vocab.getty.edu/aat/300015637,,5 3/4 x 4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0018,"Volume 1, Page 9"
ua0036_pho_0018.tif,fileset,row:42,ua0036_pho_0018.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0018a.tif,fileset,row:42,ua0036_pho_0018a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,George William Hill,,,,"""G.W. Hill\; [verso] Have neg."" [Notes on album page:] ""C.B.H.\; G.W. Hill"" [Scan shows earlier accession number, ms0284_pho_.]",,,info:lc/authorities/names/n90656418,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0019,"Volume 1, Page 10"
ua0036_pho_0019.tif,fileset,row:45,ua0036_pho_0019.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0019a.tif,fileset,row:45,ua0036_pho_0019a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Alfred Higbie,,Union Photo-Eng. Co.,,"""Professor Alfred Higbie, 1898(?)"". [Notes on album page:] ""A9B\; Alfred Higbie, 1898(?)"". Professor of meteorology, University of the Pacific. [Scan shows earlier accession number, ms0284_pho_.]",1898,1898,"Higbie, Alfred",,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0020,"Volume 1, Page 10"
ua0036_pho_0020.tif,fileset,row:48,ua0036_pho_0020.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0020a.tif,fileset,row:48,ua0036_pho_0020a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Ambrose Swasey,,,,"""A1,p.11\; A. Swasey""\; Lick Observatory stamp. [Notes on album page:] ""C.B.P\; Ambrose Swasey"" [Scan shows earlier accession number, ms0284_pho_.]",,,info:lc/authorities/names/n93015780,,http://vocab.getty.edu/aat/300015637,,6 x 4 1/2 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0021,"Volume 1, Page 11"
ua0036_pho_0021.tif,fileset,row:51,ua0036_pho_0021.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0021a.tif,fileset,row:51,ua0036_pho_0021a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,A.O. (Armin Otto) Leuschner,,Taber Photographic Co.,,"""v.1 p.12\; Prof. E.S. Holden from A.O.Leuschner / L.O. 1890 Sep. 13"". [Notes on album page:] ""A.O.L\; A.O. Leuschner, 1890\; L.O. from E.S.H."" [Scan shows earlier accession number, ms0284_pho_.]",1890-09-13,1890-09-13,info:lc/authorities/names/n87815866,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0023,"Volume 1, Page 12"
ua0036_pho_0023.tif,fileset,row:54,ua0036_pho_0023.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0023a.tif,fileset,row:54,ua0036_pho_0023a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Dorothea Klumpke,,"Core, E. B.",,"""To the Lick Observatory / Paris Dec 15, 1893 Dorothea Klumpke\; v.1 p.12\; A2 Klumpke 1"". [Notes on album page:] ""Dorothea Roberts-Klumpke, 1893"" [Scan shows earlier accession number, ms0284_pho_.]",1893-12-15,1893-12-15,info:lc/authorities/names/nr96024342,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0024,"Volume 1, Page 12"
ua0036_pho_0024.tif,fileset,row:57,ua0036_pho_0024.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0024a.tif,fileset,row:57,ua0036_pho_0024a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,F.H. (Frederick Hanley) Seares,,Louis Thors Photography Studio,,"""v.1 p.13\; have neg\; signed - F.H. Seares 1896"". [Notes on album page:] ""F.H. Seares, 1896"" [Scan shows earlier accession number, ms0284_pho_.]",1896,1896,http://id.loc.gov/authorities/names/n86835289,,http://vocab.getty.edu/aat/300015637,,6 x 4 1/2 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0025,"Volume 1, Page 13"
ua0036_pho_0025.tif,fileset,row:60,ua0036_pho_0025.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0025a.tif,fileset,row:60,ua0036_pho_0025a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,E.F. (Edwin Foster) Coddington,,,,"""E.F. Coddington\; Jan'y 1899\; A.1, v.1 p.13"". [Notes on album page:] ""E.F. Coddington, 1899"" [Scan shows earlier accession number, ms0284_pho_.]",1899-01,1899-01,info:lc/authorities/names/no2003062933,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0026,"Volume 1, Page 13"
ua0036_pho_0026.tif,fileset,row:63,ua0036_pho_0026.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0026a.tif,fileset,row:63,ua0036_pho_0026a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Ercole Dembowski,,,,"""A1 v.1 p.14"". [Notes on album page:] ""Ercole Dembowski\; L.O. from ESH"". Italian, 1812-1881. [Scan shows earlier accession number, ms0284_pho_.]",,,info:lc/authorities/names/no2007127559,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0027,"Volume 1, Page 14"
ua0036_pho_0027.tif,fileset,row:66,ua0036_pho_0027.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0027a.tif,fileset,row:66,ua0036_pho_0027a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,G.W. (George Washington) Hough,,"Smith, Charles E.",,"Lick stamp dated 02/12/1896\; ""v.1 p.14\; G.W. Hough\; 1895?"". [Notes on album page:] ""G.W. Hough, 1895(?)"" [Scan shows earlier accession number, ms0284_pho_.]",1895,1895,info:lc/authorities/names/no2012032365,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0028,"Volume 1, Page 14"
ua0036_pho_0028.tif,fileset,row:69,ua0036_pho_0028.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0028a.tif,fileset,row:69,ua0036_pho_0028a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Sir C.W. (Charles William) Siemens,,info:lc/authorities/names/n85325240,,"""Sir C.W. Siemens, L.O. from E.S.H. 1896 [verso] 42597\; A1, p.15\; L.O. from E.S.H. 1896\; [signed:] CW Siemens to ESH"". [Notes on album page:] ""Sir C.W. Siemens, 1896"". [Scan shows earlier accession number, ms0284_pho_.]",1896,1896,info:lc/authorities/names/n84804116,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0029,"Volume 1, Page 15"
ua0036_pho_0029.tif,fileset,row:72,ua0036_pho_0029.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0029a.tif,fileset,row:72,ua0036_pho_0029a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,Wolcott Gibbs,,Warren's Photograph Studio,,"""A1, p.15""\; Lick Observatory stamp. [Notes on album page:] ""Dr. Wolcott Gibbs\; L.O. from E.S.H."" American chemist. [Scan shows earlier accession number, ms0284_pho_.]",,,info:lc/authorities/names/n88222504,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0030,"Volume 1, Page 15"
ua0036_pho_0030.tif,fileset,row:75,ua0036_pho_0030.tif,,,,,front,,,,,,,,,,,,,,,,,,,,,,
ua0036_pho_0030a.tif,fileset,row:75,ua0036_pho_0030a.tif,,,,,back,,,,,,,,,,,,,,,,,,,,,,
,work,row:2,,,,Series 7: Photographs,Astronomer Portraits,H.A. (Herbert Alonzo) Howe,,Rose and Co.,,"""H.A. Howe / 1895?""\; Lick Observatory stamp dated - 2/12/1896\; ""A1 v.1 p.17"". [Notes on album page:] ""H.A. Howe, 1895(?)"" [Scan shows earlier accession number, ms0284_pho_.]",1895,1895,info:lc/authorities/names/n85814391,,http://vocab.getty.edu/aat/300015637,,6 1/2 x 4 1/4 in,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,http://purl.org/dc/dcmitype/Image,,ua0036_pho_0031,"Volume 1, Page 16"
